DATE,Equity Percentage
1986,70.37
1987,69.54
1988,69.073
1989,68.36
1990,67.18
1991,65.061
1992,63.64
1993,62.81
1994,62.16
1995,61.45
1996,60.02
1997,60.21
1998,60.41
1999,61.32
2000,63.96
2001,63.6
2002,63.72
2003,62.42
2004,61.53
2005,61.82
2006,60.47
2007,57.93
2008,53.4
2009,48.4
2010,46.75
2011,46.53
2012,46.15
2013,49.97
2014,54.91
2015,57.49
2016,59.84
2017,61.9
2018,63.77
2019,64.65
2020,65.53
2021,67.23
2022,69.99
